,LIMIT_BAL,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEF_PAY,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
111,140000,33,0,0,0,0,0,0,85314,87042,90165,91318,94847,35773,4000,5000,2000,4000,5000,6000,0,0,1,1,0,0,0,0,1,0,0
112,200000,68,0,0,0,0,0,0,203533,204149,179350,152525,152765,152680,8870,7578,5700,5882,5799,5888,0,1,0,0,1,0,0,0,0,1,0
113,30000,23,0,0,0,0,0,0,28347,28296,25819,26409,26401,26448,2300,2390,1718,1100,1000,2000,0,0,1,0,1,0,0,0,0,1,0
114,200000,47,0,0,0,0,2,0,185272,189657,103861,75480,70042,72157,10000,10000,6000,0,5000,3000,0,1,0,0,0,1,0,0,1,0,0
115,260000,50,0,0,0,0,0,0,263320,171626,175869,180891,184952,182328,7000,7000,8000,7032,13603,5000,0,0,1,0,1,0,0,0,1,0,0
116,70000,31,0,0,0,0,0,0,101284,71451,66937,38521,34149,38819,2864,2501,1417,1500,5050,1279,0,1,0,0,1,0,0,0,0,1,0
117,270000,30,0,0,0,0,0,0,81488,76257,70685,66539,61069,56211,3000,5000,3000,2200,2100,3879,0,0,1,1,0,0,0,0,0,1,0
118,200000,41,0,0,0,0,0,2,-60,-60,1590,8188,428,278,0,1650,8188,428,0,5500,0,0,1,0,1,0,0,0,1,0,0
119,30000,34,0,0,0,0,0,0,17803,19126,19500,0,0,0,1626,1000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
120,140000,25,0,0,0,0,0,0,140876,48005,13650,12371,12511,10697,3600,4015,600,500,800,119,0,0,1,0,1,0,0,0,1,0,0
121,500000,45,0,0,0,0,0,0,6197,4934,6783,11507,4883,5897,4969,6802,11523,14,5914,7622,0,1,0,1,0,0,0,0,1,0,0
122,80000,24,0,0,0,0,0,0,78749,77025,66725,21604,9352,9276,4000,2784,1882,1000,457,20000,0,0,1,0,1,0,0,0,0,1,0
123,240000,65,0,0,0,0,0,0,4110,5000,0,1000,0,167747,1000,0,1000,0,167747,4810,0,1,0,1,0,0,0,0,0,0,1
124,30000,48,1,0,0,0,0,0,-100,100,0,0,0,0,200,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
125,120000,39,0,2,0,0,0,0,11277,5624,5333,5333,5333,21348,0,5333,5333,5333,21348,5333,0,0,1,0,1,0,0,0,1,0,0
126,270000,36,0,0,0,0,0,0,11464,1879,6896,8583,880,4861,1879,6909,8587,880,4861,3212,0,1,0,1,0,0,0,0,0,1,0
127,80000,42,1,2,2,2,2,2,45619,46567,47522,48373,47442,50501,2000,2000,2000,0,4000,0,0,1,0,1,0,0,0,0,1,0,0
128,140000,36,0,0,0,0,0,0,127496,128675,131640,134183,91772,94290,5000,5041,5000,4000,4000,4000,0,1,0,1,0,0,0,0,1,0,0
129,10000,24,0,0,0,0,0,0,-2,-391,-781,9211,9422,8853,0,0,10500,500,500,1000,0,1,0,1,0,0,0,0,0,1,0
130,170000,27,1,0,0,0,0,0,-1020,25607,23922,24399,24919,26884,27107,1500,863,903,3000,6186,0,0,1,0,1,0,0,0,0,1,0
131,290000,50,0,0,0,0,0,0,88713,79214,81301,84033,86513,90056,3459,4000,5000,4000,5000,5000,0,1,0,0,1,0,0,0,1,0,0
132,160000,27,0,0,0,0,0,0,13234,0,6000,15866,4168,2067,0,6000,15866,4168,2067,11826,0,0,1,1,0,0,0,0,0,1,0
133,140000,39,0,0,0,0,0,0,139079,143816,134472,130129,133031,136919,7000,4800,4659,5000,6100,6000,0,1,0,0,1,0,0,0,0,1,0
134,110000,52,1,2,0,0,0,2,23969,11137,16401,18670,19670,1187,0,6000,7000,1200,0,3000,0,0,1,0,0,1,0,0,1,0,0
135,40000,28,2,2,3,2,2,2,31131,33815,33002,32173,34629,33940,3500,0,0,3000,0,2000,0,0,1,0,1,0,0,0,1,0,0
136,50000,40,0,0,0,0,0,0,48050,47238,47722,32920,28471,28834,2000,1871,1800,1100,1200,1040,0,0,1,0,1,0,0,0,1,0,0
137,40000,30,1,2,0,0,0,0,40672,39724,39475,39078,38339,38665,9,2143,1606,1500,1410,1507,0,0,1,0,0,1,0,0,1,0,0
138,120000,24,1,0,0,0,0,0,0,0,0,0,4629,5551,0,0,0,4629,1000,1915,0,0,1,0,1,0,0,0,1,0,0
139,60000,47,0,0,0,0,0,0,9253,56120,57614,58699,57302,51812,50000,3000,2700,3000,3000,3000,0,0,1,0,1,0,0,0,1,0,0
140,290000,37,0,0,0,0,0,0,48978,58858,36129,20369,29521,59219,20078,5017,509,29526,35000,93600,0,0,1,0,1,0,0,0,1,0,0
141,180000,41,2,0,0,0,0,0,106944,78405,47542,44952,24904,26825,3500,2000,1500,2000,3000,3000,0,0,1,0,1,0,0,0,1,0,0
142,150000,46,0,0,0,0,0,0,61510,62731,64047,65966,66671,68067,2240,2321,2980,2400,2468,2611,0,0,1,0,0,1,0,0,1,0,0
143,50000,31,1,0,0,0,0,2,0,0,190,0,36059,32851,0,190,0,36059,0,2420,0,0,1,0,1,0,0,0,0,1,0
144,230000,41,0,0,0,0,0,0,819,18163,5473,8162,6985,9130,18163,5654,12887,6985,9130,6554,0,0,1,0,1,0,0,0,1,0,0
145,50000,58,0,0,0,0,0,0,7308,7987,8582,9719,9692,9663,1200,1500,1300,500,500,500,0,0,1,0,0,1,0,0,1,0,0
146,220000,28,0,0,0,0,0,0,22399,24203,24081,25356,20952,18340,3000,2000,2000,1000,1200,900,0,1,0,1,0,0,0,0,0,1,0
147,30000,49,0,0,2,2,0,0,12855,16012,16453,15891,16224,16710,3690,1000,0,589,756,1500,0,1,0,0,1,0,0,0,1,0,0
148,160000,40,0,0,0,0,0,0,6102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
149,180000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
150,500000,69,0,0,0,0,0,0,1200,5652,271,1234,1015,3579,5652,271,1234,1015,3579,2053,0,1,0,1,0,0,0,0,1,0,0
151,160000,38,0,0,0,0,2,2,105313,109030,109731,116452,114481,121885,5416,4002,8565,0,9502,0,0,0,1,0,1,0,0,0,1,0,0
152,440000,36,0,0,0,0,0,0,7887,2516,5252,13192,29029,27812,2516,5252,13192,20000,1179,623,0,0,1,0,0,1,0,0,0,1,0
153,450000,48,0,0,0,0,0,0,20938,80176,37417,22048,20926,13187,80191,37417,22080,20926,13337,88744,0,1,0,1,0,0,0,0,1,0,0
154,320000,29,0,0,0,0,0,0,95322,98787,97996,27996,1712,-216,5000,2000,2000,2000,0,10000,0,0,1,1,0,0,0,0,1,0,0
155,410000,27,1,0,0,0,0,0,-58,32991,36465,44310,62408,61420,33049,16000,8700,18775,15000,5350,0,0,1,0,1,0,0,0,0,1,0
156,230000,30,0,0,0,0,0,0,234521,228486,216287,215927,174259,174486,9800,8502,8350,6200,6500,6500,0,0,1,0,1,0,0,0,1,0,0
157,260000,31,0,0,0,0,0,0,229398,202429,206210,208752,209083,208463,8720,9000,8910,7570,7751,8200,0,0,1,1,0,0,0,0,0,1,0
158,50000,22,0,0,0,0,0,0,18108,18512,19468,16989,17326,17748,1400,1300,2800,619,700,1000,0,0,1,0,0,1,0,0,0,1,0
159,50000,27,0,0,0,0,0,0,47189,48182,49479,49704,19380,18653,1778,2075,1300,700,677,691,0,1,0,1,0,0,0,0,0,1,0
160,240000,29,0,0,0,0,0,0,92076,84598,90102,90198,89822,95856,5006,9002,7000,5049,21862,5529,0,0,1,0,1,0,0,0,0,1,0
161,60000,34,0,0,0,0,0,0,59291,60720,59503,49305,28903,28577,3000,2267,1000,1100,1300,1025,0,0,1,0,1,0,0,0,0,1,0
162,240000,34,0,0,0,0,0,0,626,1921,20740,21274,888,360,1921,19000,2624,888,360,360,0,0,1,0,1,0,0,0,1,0,0
163,280000,28,0,0,0,0,0,0,269,4160,3590,274,5274,8222,4166,3607,275,5275,3223,3335,0,0,1,1,0,0,0,0,0,1,0
164,420000,43,0,0,0,0,0,0,3542,2967,2977,2987,3624,3165,3010,3035,3029,3637,3222,3025,0,1,0,1,0,0,0,0,1,0,0
165,20000,28,0,0,0,0,0,0,18941,16568,17222,18045,18083,18123,1500,1300,1500,700,700,2600,0,1,0,0,1,0,0,0,1,0,0
166,50000,25,0,0,0,0,2,2,35427,36307,36989,38559,39958,38313,2000,2000,3000,3000,0,3090,0,0,1,1,0,0,0,0,0,1,0
167,400000,28,1,0,2,0,0,0,-1320,5773,3944,87146,90818,96316,9952,10,87170,10013,10008,20039,0,1,0,1,0,0,0,0,0,1,0
168,130000,32,0,0,0,0,0,0,21395,31030,40523,54838,78769,82478,10000,10000,15000,25000,5000,5000,0,1,0,0,1,0,0,0,0,1,0
169,260000,57,0,2,0,2,0,0,1148,123,1668,446,123,35722,0,1668,0,490,35722,0,0,0,1,0,0,1,0,0,1,0,0
170,20000,41,0,0,0,0,0,2,16208,16942,18255,18468,19715,19250,1300,1600,813,1700,0,831,0,0,1,0,0,1,0,0,1,0,0
171,80000,44,0,0,0,0,0,0,1798,2302,1604,3612,2608,1604,2310,1100,3612,600,600,1631,0,1,0,0,1,0,0,0,1,0,0
172,20000,26,0,0,0,0,0,0,16976,17687,18894,19693,19894,3473,1300,1500,1250,451,160,69,0,0,1,0,1,0,0,0,0,1,0
173,480000,37,1,0,0,0,0,0,6071,7994,8313,25714,25710,20110,8023,8351,25753,14012,10021,12462,0,1,0,1,0,0,0,0,1,0,0
174,30000,52,1,0,0,0,0,0,-190,-760,-760,-760,760,760,0,0,0,1520,0,0,0,0,1,0,0,1,0,0,1,0,0
175,360000,47,0,0,0,0,0,0,71006,37066,49018,32760,31489,22316,36448,48833,32928,31646,22428,37984,0,0,1,0,1,0,0,0,1,0,0
176,100000,39,0,0,0,0,0,0,1890,24105,52262,9920,8633,53312,24105,52282,9920,8633,53312,4589,0,0,1,0,0,1,0,0,1,0,0
177,90000,32,0,0,0,0,0,0,39664,24589,22677,20842,20545,20989,1657,1676,1554,805,846,651,0,0,1,0,1,0,0,0,1,0,0
178,360000,30,0,0,0,0,0,0,13861,7795,4489,10218,6509,15156,7884,4808,10044,4006,10046,12087,0,0,1,1,0,0,0,0,0,1,0
179,310000,32,0,0,0,0,0,0,172772,152397,110375,84373,57779,14163,8295,6000,4000,3000,1000,2000,0,1,0,0,0,1,0,0,1,0,0
180,80000,40,2,2,3,2,0,0,1140,5395,4415,1375,779,5889,5000,0,0,885,5889,4239,0,0,1,0,0,1,0,1,0,0,0
